1000, 499500, 172000, 30.923025
10000, 49995000, 16726346, 1088.864798
100000, 4999950000, 1678156522, 254812.827752
150000, 11249925000, 3777584748, 566872.43453
20000, 199990000, 67333541, 6515.79514
235886, 27820984555, 9341399657, 1736957.438389
40000, 799980000, 270144288, 40428.163116
500, 124750, 43083, 12.987766
5000, 12497500, 4240869, 282.500448
50000, 1249975000, 420558487, 74341.592468
60000, 1799970000, 606069979, 113552.64632
7500, 28121250, 9420510, 643.491922
75000, 2812462500, 945023705, 149496.121741
